Sysno,ZpZveřejnění,AutořiVšichni,AutořiAV,AutořiVšichniPočet,AutořiRIV,AutořiAVPočet,AutořiKorespondující,BiblCit,BiblCitZdrD,ISBN_ISSN,ISBN_ISSN_ZdrDok,ZeměZveřejnění,Jazyk,PočStran,ImpFaktor,ProjektyCEP,ProjektyOst,VýzZáměr,OrigNázev,PřekladNázvu,KlíčSlova,AnotaceOrig,AnotaceEng,AnotaceCz,KódOborRIV,Pozn,PoznProZprac,Konference,VlastníkZáznamu,VlastníkZáznamuCZ,VlastníkZáznamuANJ,OdevzdáníDoRIV,RokVydání,RokSběru,PočetCitací,DOI,UT WOS,UT SCOPUS,HANDLE,RVO,PlnýText,Int.kód,TechnickéParametry,EkonomickéParametry,NázevVlastníka,ČísloPředpisu,ČísloPatentovéhoSpisu,VlastníkPatentu,DatumUděleníPatentu,KódVydavatelePatentu,Poddruh
"0348394","C","Vidnerová, Petra - Neruda, Roman","Vidnerová, Petra - Neruda, Roman","2","2","2","","Vidnerová, Petra; Neruda, Roman. Genetic Algorithm with Species for Regularization Network Metalearning. In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória Seňa: Pont, 2010, s. 111-116. ISBN 978-80-970179-3-4. [ITAT 2010. Conference on Theory and Practice of Information Technologies, Smrekovica, 21.09.2010-25.09.2010, SK].","In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória. Seňa: Pont, 2010, s. 111-116","","978-80-970179-3-4","SK","eng","6","","KJB100300804:GA AV ČR","","CEZ:AV0Z10300504","Genetic Algorithm with Species for Regularization Network Metalearning","","regularization networks - kernel functions - genetic algorithms","Regularization networks are one of the important methods for supervised learning. They benefit from very good theoretical background, although the presence of metaparameters is their drawback. The metaparameters are typically supposed to be given in advance and come ready as an input of the algorithm. Typically, they are set based on the task context by an experienced user. In this paper, we develop a method for finding optimal values of metaparameters, namely the type of kernel function, kernel parameters and regularization parameter. The method is based on co-evolutionary genetic algorithms with different species for different kind","","","IN","","UT ISI","ITAT 2010. Conference on Theory and Practice of Information Technologies. Smrekovica (SK), 21.09.2010-25.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188941","","0","","","","","","","","","",""
"0348393","C","Šťastný, J. - Holeňa, Martin","Holeňa, Martin","2","2","1","","Šťastný, J.; Holeňa, Martin. Assessing the Usability of Predictions of Different Regression Models. In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória Seňa: Pont, 2010, s. 93-98. ISBN 978-80-970179-3-4. [ITAT 2010. Conference on Theory and Practice of Information Technologies, Smrekovica, 21.09.2010-25.09.2010, SK].","In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória. Seňa: Pont, 2010, s. 93-98","","978-80-970179-3-4","SK","eng","6","","GA201/08/0802:GA ČR","","CEZ:AV0Z10300504","Assessing the Usability of Predictions of Different Regression Models","","regression models - confidence of predictions - confidence intervals - transductive inference - sensitivity analysis","Two kinds of methods for assessing reliability of regression models are analysed. The first kind consists in obtaining confidence intervals using either statistical methods (frequentist, Bayesian) or transductive inference. The second kind are heuristic methods, designed so that they correlate with prediction error. Both methods are compared on four kinds of parametric regression models using real-world data. This is a work in progress, that is why transductive inference has not been implemented yet, only one dataset has been used, and the comparison has been implemented for two kinds of regression models, so far: multilayer perceptron and support-vector regression. For them, the variability of results obtained by heuristics methods with respect to different models is illustrated, as well as the correlation between the confidence intervals and the heuristic methods.","","","IN","","UT ISI","ITAT 2010. Conference on Theory and Practice of Information Technologies. Smrekovica (SK), 21.09.2010-25.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188940","","0","","","","","","","","","",""
"0348391","C","Slušný, Stanislav - Zerola, Michal","Slušný, Stanislav - Zerola, Michal","2","2","2","","Slušný, Stanislav; Zerola, Michal. Plánovanie cesty založené na programovaní s obmedzujúcimi podmienkami. In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória Seňa: Pont, 2010, s. 87-92. ISBN 978-80-970179-3-4. [ITAT 2010. Conference on Theory and Practice of Information Technologies, Smrekovica, 21.09.2010-25.09.2010, SK].","In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória. Seňa: Pont, 2010, s. 87-92","","978-80-970179-3-4","SK","slo","6","","KJB100300804:GA AV ČR - LC07048:GA MŠk - LA08015:GA MŠk","","CEZ:AV0Z10300504 - CEZ:AV0Z10480505","Plánovanie cesty založené na programovaní s obmedzujúcimi podmienkami","Robot Path Planning based on Constraint Programming","robotics - path planning - constraint programming","Roboti sa stávajú vo viacerých ohladoch komplexnejšími. Technologický vývoj posunul robotiku vpred velkými krokmi a roboti sa začínajú presúvat z laboratórií do skutočného prostredia. Odkedy prestali byt hlavnými prekážkami základné úlohy ako plánovanie pohybu alebo lokalizácia, roboti začínajú mierne interagovat i s ludmi. Táto práca sa sústreďuje na populárnu úlohu plánovania cesty robota. Navrhnutý model umožnuje riešit viaceré praktické problémy, základnou úlohou je úloha vyčistenia budovy od smetí. Plánovací modul sa stará o naplánovanie najkratšej možnej trasy, pričom počíta s rozličnými obmedzeniami trasy, kedže robot môže naraz prenášat iba limitovaný počet predmetov. Práca porovnáva dva prístupy k modelovaniu a riešeniu úlohy, oba založené na technike programovania s obmedzujúcimi podmienkami. Experimenty ukazujú, že napriek náročnosti úlohy, je možné použit tieto techniky aj v aplikáciách kritických na čas, akou je i robotika.","Robots are becoming more and more complex these days. Technological evolution pushed the field forward by huge steps and robots have moved from laboratories to real world environment. They started to interact with humans since the fundamental tasks, like motion planning or localization, had stopped being the major obstacle for researchers. However, still, a lot of work remains to be done - especially planning process and increasing adaptive abilities remain hot research topics. The paper tackles the robot path planning problem with additional constraints such as capacity or replenished depots, while having minimal travel distance as an objective. The similar, however often overlooked problems from VRP instances are the ones with satellite facilities. The optimization model based on Constraint Programming is presented with the strong emphasis on several comparisons including the pure CP solver performance, solution convergence, and application of model within other local search methods.","","IN","","UT ISI *** atestace2013ne","ITAT 2010. Conference on Theory and Practice of Information Technologies. Smrekovica (SK), 21.09.2010-25.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188938","","0","","","","","","","","","",""
"0348390","C","Kůrková, Věra","Kůrková, Věra","1","1","1","","Kůrková, Věra. Comparison of Approximation Capabilities of Neural Networks and Linear Models. In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória Seňa: Pont, 2010, s. 31-36. ISBN 978-80-970179-3-4. [ITAT 2010. Conference on Theory and Practice of Information Technologies, Smrekovica, 21.09.2010-25.09.2010, SK].","In Pardubská, D. (ed.). Informačné Technológie - Aplikácie a Teória. Seňa: Pont, 2010, s. 31-36","","978-80-970179-3-4","SK","eng","6","","1M0567:GA MŠk","","CEZ:AV0Z10300504","Comparison of Approximation Capabilities of Neural Networks and Linear Models","","neural network approximation - linear approximation","Using method from nonlinear approximation and integral representations tailored to computational units, we describe some cases when neural networks outperform any linear approximator.","","","IN","","UT ISI","ITAT 2010. Conference on Theory and Practice of Information Technologies. Smrekovica (SK), 21.09.2010-25.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188937","","0","","","","","","","","","",""
"0348388","C","Holeňa, Martin","Holeňa, Martin","1","1","1","","Holeňa, Martin. Two Ways of using Artifiial Neural Networks in Knowledge Discovery from Chemical Materials Data. In Pardubská, D. (ed.). Information Technologies - Applications and Theory Seňa: Pont, 2010, s. 17-24. ISBN 978-80-970179-4-1. [ITAT 2010. Conference on Theory and Practice of Information Technologies, Smrekovica, 21.09.2010-25.09.2010, SK].","In Pardubská, D. (ed.). Information Technologies - Applications and Theory. Seňa: Pont, 2010, s. 17-24","","978-80-970179-4-1","SK","eng","8","","GA201/08/1744:GA ČR","","CEZ:AV0Z10300504","Two Ways of using Artifiial Neural Networks in Knowledge Discovery from Chemical Materials Data","","knowledge discovery from data - chemical data mining - artificial neural networks - rules extraction - surrogate modelling","In the application area of chemical materials, data mining methods have been used for more than a decade. By far most popular have from the very beginning been methods based on artificial neural networks. However, they are frequently used without awareness of the difference between the numeric nature of knowledge obtained from data by neural network regression, and the symbolic nature of knowledge obtained by some other data mining methods. This paper explains that within the surrogate modelling approach, which plays an important role in this area, using numeric knowledge is justified. At the same time, it recalls the possibility to obtain symbolic knowledge from neural networks in the form of logical rules and describes a recently proposed method for the extraction of Boolean rules in disjunctive normal form. Both ways of using neural networks are illustrated on examples from this application area.","","","IN","","UT ISI","ITAT 2010. Conference on Theory and Practice of Information Technologies. Smrekovica (SK), 21.09.2010-25.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","2-s2.0-84873949469","http://hdl.handle.net/11104/0188936","","0","","","","","","","","","",""
"0348314","M","Brabec, Marek - Malý, Marek - Pelikán, Emil - Konár, Ondřej","Brabec, Marek - Malý, Marek - Pelikán, Emil - Konár, Ondřej","4","4","4","","Brabec, Marek; Malý, Marek; Pelikán, Emil; Konár, Ondřej. Statistical Model of Segment-Specific Relationship Between Natural Gas Consumption and Temperature in Daily and Hourly Resolution. In Potočnik, P. (ed.). Natural Gas Rijeka: Sciyo, 2010, s. 393-416. ISBN 978-953-307-112-1.","In Potočnik, P. (ed.). Natural Gas. Rijeka: Sciyo, 2010, s. 393-416","","978-953-307-112-1","HR","eng","24","","1ET400300513:GA AV ČR","M100300904:GA AV ČR:CZ","CEZ:AV0Z10300504","Statistical Model of Segment-Specific Relationship Between Natural Gas Consumption and Temperature in Daily and Hourly Resolution","","natural gas consumption - semiparametric modeling - statistical modeling - temperature response","We describe a statistical model which was developed from first principles and from empirical behavior of real data to characterize the relationship between the consumption of natural gas and temperature in several segments of a typical gas utility company's customer pool. Specifically, we will deal with household and small+medium (HOU+SMC) size commercial customers. The model is suitable for disaggregation of various observed functionals of the observed consumption process into smaller pieces, e.g. disaggregation of sums across both individual customers and time into original components. This amounts to (semiparametric statistical) estimation of the individual pieces and/or subsequent synthesis into other functionals of interest. The model is built as a GAM (generalized additive model) with a nonlinear temperature response and it has quite rich dynamic component. We formulate the model first in generality and then we illustrate its behavior on real data from a large scale project.","","","JE","","hodui2015 malý","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","10.5772/9855","wos:000363693000018","","http://hdl.handle.net/11104/0188875","","0","","","","","","","","","",""
"0348311","J","Resler, Jaroslav - Eben, Kryštof - Juruš, Pavel - Liczki, Jitka","Resler, Jaroslav - Eben, Kryštof - Juruš, Pavel - Liczki, Jitka","4","4","4","","Resler, Jaroslav; Eben, Kryštof; Juruš, Pavel; Liczki, Jitka. Inverse Modeling of Emissions and their Time Profiles. Atmospheric Pollution Research 2010, roč. 1, č. 4, s. 288-295. ISSN 1309-1042.","Atmospheric Pollution Research. 2010, roč. 1, č. 4, s. 288-295","","1309-1042","TR","eng","8","","SP/1A4/107/07:GA MŽP","ES0602:COST:XE","CEZ:AV0Z10300504","Inverse Modeling of Emissions and their Time Profiles","","4DVar - inverse modeling - diurnal time profile of emission - CMAQ adjoint - satellite observations","The paper presents a version of the 4DVar method, capable of optimizing diurnal time profiles of emissions. It is a generalization of existing inverse methods that optimize emission daily totals. The core of the method is formed by the CMAQ adjoint model with SAPRC99 mechanism. Measurements from both ground–level stations (NO2 and O3), and satellites (retrieved columns of NO2 from GOME2 and OMI and the lowest layer of O3 retrieved from IASI) have been used as a data source for the inverse modeling procedure. The method can be used for detection of bias or errors in the emission model. It also can assist in development of data–driven emission model with location–specific time profiles of emissions. Different aspects of the method are illustrated on simulation experiments. Forecasting performance of the optimized model is evaluated for O3 and NO2 concentrations.","","","DG","","hodui2015 resler","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","3","10.5094/APR.2010.036","wos:000208510000012","2-s2.0-79951879550","http://hdl.handle.net/11104/0188873","","0","","","","","","","","","",""
"0348233","H","Kuželová, Dana - Hakl, František","Kuželová, Dana - Hakl, František","2","2","2","","Kuželová, Dana; Hakl, František. Doktorandské dny '10 Praha: Ústav informatiky AV ČR, v. v. i. & MATFYZPRESS, 2010. 121 s. ISBN 978-80-7378-133-0.","","978-80-7378-133-0","","CZ","eng","121","","","","CEZ:AV0Z10300504","Doktorandské dny '10","","","","","","","","","Doktorandské dny 2010 Ústavu informatiky AV ČR, v. v. i.. Heřmanice v Podještědí (CZ), 29.09.2010-01.10.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","","2010","2011","","","","","http://hdl.handle.net/11104/0188816","","1","","","","","","","","","",""
"0347817","C","Řezanková, H. - Húsek, Dušan - Löster, T.","Húsek, Dušan","3","3","1","","Řezanková, H.; Húsek, Dušan; Löster, T. Clustering with Mixed Type Variables and Determination of Cluster Numbers. In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010 Heidelberg: Physica Verlag, 2010, s. 1525-1532. ISBN 978-3-7908-2603-6. [COMPSTAT 2010. International Conference on Computational Statistics /19./, Paris, 22.08.2010-27.08.2010, FR].","In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010. Heidelberg: Physica Verlag, 2010, s. 1525-1532","","978-3-7908-2603-6","DE","eng","8","","GAP202/10/0262:GA ČR - GA205/09/1079:GA ČR","","CEZ:AV0Z10300504","Clustering with Mixed Type Variables and Determination of Cluster Numbers","","cluster analysis - entropy - Gini's coefficient of mutability - cluster number determination - Schwarz's Bayesian information criterion","The main applications of cluster analysis methods concern clustering objects characterized by quantitative variables. In the paper, the evaluation criteria for the case of mixed type variables are dealt with. The criteria based on variability measures for nominal and quantitative variables are described. A combination of variance and entropy or Gini's coefficient of mutability is used. The coefficients for determination of cluster numbers based on variability measures for mixed type variables are applied to a real-data to show viability of our approach.","","","BB","","UT ISI","COMPSTAT 2010. International Conference on Computational Statistics /19./. Paris (FR), 22.08.2010-27.08.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188506","","","","","","","","","","","",""
"0347803","C","Frolov, A. A. - Polyakov, P.Y. - Húsek, Dušan","Húsek, Dušan","3","3","1","","Frolov, A. A.; Polyakov, P.Y.; Húsek, Dušan. Boolean Factor Analysis by the Expectation-Maximization Algorithm. In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010 Heidelberg: Physica Verlag, 2010, s. 1039-1046. ISBN 978-3-7908-2603-6. [COMPSTAT 2010. International Conference on Computational Statistics /19./, Paris, 22.08.2010-27.08.2010, FR].","In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010. Heidelberg: Physica Verlag, 2010, s. 1039-1046","","978-3-7908-2603-6","DE","eng","8","","1M0567:GA MŠk - GAP202/10/0262:GA ČR - GA205/09/1079:GA ČR","","CEZ:AV0Z10300504","Boolean Factor Analysis by the Expectation-Maximization Algorithm","","boolean factor analysis - generative model - information gain - efficiency measure","Compared are e ciencies of two methods for Boolean factor analysis based on expectation-maximization technique. First one is Maximal Causes Analysis proposed by Lucke and Sahani (2008). Second one is Expectation-Maximization Boolean Factor Analysis, introduced here. Last method is strictly based on the general Boolean factor analysis generative model. Comparison is based on so called bars problem benchmark (Foldiak, 1990). Further informational theoretic measure of Boolean factor analysis e ciency is developed. Then it is shown that the e ciency of our Expectation-Maximization Boolean Factor Analysis method is higher then Maximal Causes Analysis in Boolean factor analysis model parameters entirety.","","","IN","","UT ISI  *** zmena BB na IN","COMPSTAT 2010. International Conference on Computational Statistics /19./. Paris (FR), 22.08.2010-27.08.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188494","","","","","","","","","","","",""
"0347794","M","Brabec, Marek","Brabec, Marek","1","1","1","","Brabec, Marek. Statistical State-Space Modeling via Kalman Filtration. In Gomez, J.M. (ed.). Kalman Filtering New York: Nova Science Publishers, 2011, s. 77-110. Mathematics Research Developments. ISBN 978-1-61761-462-0.\\nhttps://www.novapublishers.com/catalog/product_info.php?products_id=28940","In Gomez, J.M. (ed.). Kalman Filtering. New York: Nova Science Publishers, 2011, s. 77-110. Mathematics Research Developments","","978-1-61761-462-0","US","eng","34","","","","CEZ:AV0Z10300504","Statistical State-Space Modeling via Kalman Filtration","","kalman filter - state-space - time-series model - prediction error decomposition - statistical estimation","We start with a brief review of the theory underlying the Kalman filter (KF) statistical modeling based on the state-space approach. We will stress the prediction error decomposition as a highly effective way of computing the likelihood function, useful when maximum likelihood estimate of certain structural parameters is attempted. Next, we will illustrate how the state-space modeling and KF can be useful for solving practical problems from interesting real-life applications. Firstly, the state-space approach and KF estimation will be shown as a tool for estimation of time-varying parameters describing radon concentrations in houses, based on two underlying differential equations summarizing the radon and tracer dynamics. Secondly, we will show how the Kalman filtration can be useful for estimation of underlying growth curve of small children. Further, we will consider also multivariate approach useful for individualized natural gas consumption modeling.","","","BB","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2011","2012","","","","2-s2.0-84895359112","http://hdl.handle.net/11104/0188488","","0","","","","","","","","","",""
"0347773","C","Bajer, L. - Holeňa, Martin","Holeňa, Martin","2","2","1","","Bajer, L.; Holeňa, Martin. Surrogate Model for Continuous and Discrete Genetic Optimization Based on RBF Networks. In Fyfe, C.; Tino, P.; Garcia-Osorio, C.; Yin, H. (ed.). Intelligent Data Engineering and Automated Learning - IDEAL 2010 Berlin: Springer-Verlag, 2010, s. 251-258. Lecture Notes in Computer Science, 6283. ISBN 978-3-642-15380-8. ISSN 0302-9743. [IDEAL 2010. International Conference on Intelligent Data Engineering and Automated Learning /11./, Paisley, 01.09.2010-03.09.2010, GB].","In Fyfe, C.; Tino, P.; Garcia-Osorio, C.; Yin, H. (ed.). Intelligent Data Engineering and Automated Learning - IDEAL 2010. Berlin: Springer-Verlag, 2010, s. 251-258. Lecture Notes in Computer Science, 6283","","978-3-642-15380-8,0302-9743","DE","eng","8","","GD201/09/H057:GA ČR","","CEZ:AV0Z10300504","Surrogate Model for Continuous and Discrete Genetic Optimization Based on RBF Networks","","surrogate modelling - RBF networks - genetic algorithms - continuous  and discrete variables","Surrogate modelling has become a successful method improving  the optimization of costly objective functions. It brings less accurate,  but much faster means of evaluating candidate solutions. This  paper describes a model based on radial basis function networks which  takes into account both continuous and discrete variables. It shows the  applicability of our surrogate model to the optimization of empirical objective  functions for which mixing of discrete and continuous dimensions  is typical. Results of testing with a genetic algorithm confirm considerably  faster convergence in terms of the number of the original empirical  fitness evaluations.","","","IN","","atestace2013ano","IDEAL 2010. International Conference on Intelligent Data Engineering and Automated Learning /11./. Paisley (GB), 01.09.2010-03.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","2","10.1007/978-3-642-15381-5_31","wos:000284820400031","2-s2.0-78049364129","http://hdl.handle.net/11104/0188472","","0","","","","","","","","","",""
"0347343","B","Klán, Petr - Gorez, R.","Klán, Petr","2","2","1","","Klán, Petr; Gorez, R. Process Control Prague: FCC Public, 2011. 367 s. ISBN 978-80-86534-17-6.\\nhttp://aleph.lib.cas.cz/F/?func=direct&doc_number=000831871&local_base=AV","","978-80-86534-17-6","","CZ","eng","367","","","","CEZ:AV0Z10300504","Process Control","","process control - process modelling - control systems - controllers - logic control","Process Control is a basic essence in this digital age that helps to keep industries competitive. This book is a detailed guide through the fundamentals of understanding, designing, and practicing control systems. Although an introductory nature of the text, it covers the major elements of process control applicable for students studying automatic control courses, as well as for professionals looking for proven guidance usable in day-to-day operations. Unique features of the text include succinctly comprehensive presentation, complete teaching environment, sensitive selection of methods and techniques, piece of the newest original research, introduction of concepts which are untypical in current process control books, introduction to the modern concepts versus classical concepts and serious effort to emphasize readable language with using acceptable mathematics.","","","BC","","","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2011","2011","","","","","http://hdl.handle.net/11104/0188142","","","","","","","","","","","",""
"0347323","G","Chvalovský, Karel - Cintula, Petr - Noguera, C.","Chvalovský, Karel - Cintula, Petr","3","3","2","","Chvalovský, Karel (ed.); Cintula, Petr (ed.); Noguera, C. (ed.). Logic, Algebra and Truth Degrees 2010 Prague: ITI Charles University, 2010. 168 s. ITI Series, 2010-502.\\nhttp://iti.mff.cuni.cz/series/","","","","CZ","eng","168","","GEICC/08/E018:GA ČR","","CEZ:AV0Z10300504","Logic, Algebra and Truth Degrees 2010","","mathematical fuzzy logic - algebraic logic - proof theory - degree of truth","Volume of abstracts from the conference Logic, Algebra and Truth Degrees 2010 (the second official meeting of the EUSFLAT Working Group on Mathematical Fuzzy Logic) which was held on 7-11 September 2010 in Prague. The volume was published by Institute of Theoretical informatics as volume 2010-502 of ITI Series and is available at http://iti.mff.cuni.cz/series/","","","BA","","","Logic, Algebra and Truth Degrees 2010. Prague (CZ), 07.09.2010-11.09.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0188125","","1","","","","","","","","","",""
"0347293","J","Lukšan, Ladislav - Matonoha, Ctirad - Vlček, Jan","Lukšan, Ladislav - Matonoha, Ctirad - Vlček, Jan","3","3","3","","Lukšan, Ladislav; Matonoha, Ctirad; Vlček, Jan. Primal Interior Point Method for Minimization of Generalized Minimax Functions. Kybernetika 2010, roč. 46, č. 4, s. 697-721. ISSN 0023-5954.\\nhttp://dml.cz/handle/10338.dmlcz/140779","Kybernetika. 2010, roč. 46, č. 4, s. 697-721","","0023-5954","CZ","eng","25","0.461","GA201/09/1957:GA ČR","","CEZ:AV0Z10300504","Primal Interior Point Method for Minimization of Generalized Minimax Functions","","unconstrained optimization - large-scale optimization - nonsmooth optimization - generalized minimax optimization - interior-point methods - modified Newton methods - variable metric methods - global convergence - computational experiments","In this paper, we propose a primal interior-point method for large sparse generalized minimax optimization. After a short introduction, where the problem is stated, we introduce the basic equations of the Newton method applied to the KKT conditions and propose a primal interior-point method. Next we describe the basic algorithm and give more details concerning its implementation covering numerical differentiation, variable metric updates, and a barrier parameter decrease. Using standard weak assumptions, we prove that this algorithm is globally convergent if a bounded barrier is used. Then, using stronger assumptions, we prove that it is globally convergent also for the logarithmic barrier. Finally, we present results of computational experiments confirming the efficiency of the primal interior point method for special cases of generalized minimax problems.","","","BA","DOI nezjištěno","cena09","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","wos:000284562000008","2-s2.0-79951615907","http://hdl.handle.net/11104/0188099","","1","","","","","","","","","",""
"0346936","C","Fabián, Zdeněk","Fabián, Zdeněk","1","1","1","","Fabián, Zdeněk. Score Moment Estimation. In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010 Heidelberg: Physica Verlag, 2010, s. 975-982. ISBN 978-3-7908-2603-6. [COMPSTAT 2010. International Conference on Computational Statistics /19./, Paris, 22.08.2010-27.08.2010, FR].","In Lechevallier, Y; Saporta, G. (ed.). Proceedings of COMPSTAT 2010. Heidelberg: Physica Verlag, 2010, s. 975-982","","978-3-7908-2603-6","DE","eng","8","","GA205/09/1079:GA ČR","","CEZ:AV0Z10300504","Score Moment Estimation","","generalized moments - score moments - robust estimators","Thanks to the application of newly introduced concept of the scalar score, the score moments are introduced and used for parametric estimation. In cases of heavy-tailed distributions, the variances of score moment estimates are slightly higher than variances of the maximum likelihood estimates, but the estimates of all parameters are robust.","","","BB","","UT ISI","COMPSTAT 2010. International Conference on Computational Statistics /19./. Paris (FR), 22.08.2010-27.08.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","","","http://hdl.handle.net/11104/0187833","","","","","","","","","","","",""
"0346925","J","Fabián, Zdeněk","Fabián, Zdeněk","1","1","1","","Fabián, Zdeněk. Spectral Estimation of Non-Gaussian Time Series. Neural Network World 2010, roč. 20, č. 4, s. 491-499. ISSN 1210-0552.","Neural Network World. 2010, roč. 20, č. 4, s. 491-499","","1210-0552","CZ","eng","9","0.511","ME 949:GA MŠk","","CEZ:AV0Z10300504","Spectral Estimation of Non-Gaussian Time Series","","scalar score - power spectra - processes with infinite variance - processes with skewed distributions","Based on the concept of the scalar score of a probability distribution, we introduce a concept of a scalar score of time series and propose to characterize a non-Gaussian time series by spectral density of its scalar score.","","","BB","DOI nezjištěno","cena10","","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2011","","","wos:000281702900005","2-s2.0-77956664683","http://hdl.handle.net/11104/0006000","","1","","","","","","","","","",""
"0346898","C","Brabec, Marek - Pelikán, Emil - Krč, Pavel - Eben, Kryštof - Musílek, P.","Brabec, Marek - Pelikán, Emil - Krč, Pavel - Eben, Kryštof","5","5","4","","Brabec, Marek; Pelikán, Emil; Krč, Pavel; Eben, Kryštof; Musílek, P. Statistical Modeling of Energy Production by Photovoltaic Farms. In Electrical Power and Energy Conference ""Sustainable Energy for an Intelligent Grid"" Piscataway: IEEE, 2010, s. 1-6. ISBN 978-1-4244-8186-6. [EPEC 2010. Electrical Power and Energy Conference, Halifax, 25.08.2010-27.08.2010, CA].","In Electrical Power and Energy Conference ""Sustainable Energy for an Intelligent Grid"". Piscataway: IEEE, 2010, s. 1-6","","978-1-4244-8186-6","US","eng","6","","","","CEZ:AV0Z10300504","Statistical Modeling of Energy Production by Photovoltaic Farms","","electrical energy, solar energy - numerical weather prediction model - statistical model - nonparametric regression - inflated beta regression","This paper introduces several alternative statistical  approaches to modeling and prediction of electric energy generated  by photovoltaic farms. The statistical models use outputs of a  numerical weather prediction model as their inputs. Presented  statistical models allow for easy-to-compute predictions, both in  temporal sense and for out-of-sample individual farms. Model  performance is illustrated on a sample of real photovoltaic farms  located in the Czech Republic.","","","JE","","UT ISI *** Halifax, Dalhousie University, ISBN na CD zvenku je 978-1-4244-8187-3, uvnitř 978-1-4244-8188-0 (to je i na copyright pagei) a u IEEE je v popiskach ISBN  978-1-4244-8186-6, ale zatim bez strankovani a titulniho listu *** atestace2013ano","EPEC 2010. Electrical Power and Energy Conference. Halifax (CA), 25.08.2010-27.08.2010","UIVT-O","Ústav informatiky AV ČR, v. v. i.","Institute of Computer Science of the ASCR, v. v. i.","1","2010","2012","","10.1109/EPEC.2010.5697249","","2-s2.0-79951600950","http://hdl.handle.net/11104/0187804","","0","","","","","","","","","",""
